X,Y,Z,Resistivity,Easting,Northing,Profile
2.5,0.0,0.0,23616.0,464705.9358974359,5754505.423076923,9
3.5,0.0,0.0,7654.7998,464705.9102564103,5754504.392307692,9
4.5,0.0,0.0,13034.0,464705.8846153846,5754503.361538461,9
5.5,0.0,0.0,12943.0,464705.858974359,5754502.330769231,9
6.5,0.0,0.0,11979.0,464705.8333333333,5754501.3,9
7.5,0.0,0.0,6283.7002,464705.8076923077,5754500.269230769,9
8.5,0.0,0.0,22229.0,464705.78205128206,5754499.238461538,9
9.5,0.0,0.0,10533.0,464705.7564102565,5754498.207692307,9
10.5,0.0,0.0,6313.0,464705.7307692308,5754497.176923077,9
11.5,0.0,0.0,6285.8999,464705.7051282051,5754496.146153846,9
12.5,0.0,0.0,8494.7002,464705.6794871795,5754495.115384615,9
13.5,0.0,0.0,5066.7002,464705.6538461539,5754494.084615384,9
14.5,0.0,0.0,4710.7002,464705.6282051282,5754493.053846153,9
15.5,0.0,0.0,5224.6001,464705.60256410256,5754492.023076923,9
16.5,0.0,0.0,3813.7,464705.57692307694,5754490.992307693,9
17.5,0.0,0.0,3842.8999,464705.5512820513,5754489.961538462,9
18.5,0.0,0.0,3776.8999,464705.5256410256,5754488.930769231,9
19.5,0.0,0.0,3823.8,464705.5,5754487.9,9
20.5,0.0,0.0,4387.6001,464705.4743589744,5754486.86923077,9
21.5,0.0,0.0,10951.0,464705.4487179487,5754485.838461539,9
22.5,0.0,0.0,2458.0,464705.4230769231,5754484.807692308,9
23.5,0.0,0.0,4124.2002,464705.39743589744,5754483.776923077,9
24.5,0.0,0.0,3193.6001,464705.3717948718,5754482.746153846,9
25.5,0.0,0.0,422.74,464705.3461538461,5754481.715384616,9
26.5,0.0,0.0,606.99,464705.3205128205,5754480.684615385,9
27.5,0.0,0.0,161.8,464705.2948717949,5754479.653846154,9
28.5,0.0,0.0,163.62,464705.2692307693,5754478.623076923,9
29.5,0.0,0.0,233.92,464705.2435897436,5754477.592307692,9
30.5,0.0,0.0,154.59,464705.21794871794,5754476.561538462,9
31.5,0.0,0.0,198.74,464705.1923076923,5754475.530769231,9
32.5,0.0,0.0,171.44,464705.1666666667,5754474.5,9
33.5,0.0,0.0,190.98,464705.141025641,5754473.469230769,9
34.5,0.0,0.0,201.51,464705.1153846154,5754472.438461538,9
35.5,0.0,0.0,189.04,464705.08974358975,5754471.407692308,9
36.5,0.0,0.0,192.62,464705.0641025641,5754470.376923077,9
37.5,0.0,0.0,193.18,464705.0384615384,5754469.346153846,9
38.5,0.0,0.0,193.78,464705.0128205128,5754468.315384615,9
39.5,0.0,0.0,179.57,464704.9871794872,5754467.284615384,9
40.5,0.0,0.0,196.5,464704.9615384616,5754466.253846154,9
41.5,0.0,0.0,186.42,464704.9358974359,5754465.223076923,9
42.5,0.0,0.0,191.18,464704.9102564103,5754464.192307692,9
43.5,0.0,0.0,188.19,464704.8846153846,5754463.161538461,9
44.5,0.0,0.0,180.69,464704.858974359,5754462.13076923,9
45.5,0.0,0.0,188.51,464704.8333333333,5754461.1,9
46.5,0.0,0.0,173.96,464704.8076923077,5754460.069230769,9
47.5,0.0,0.0,176.19,464704.78205128206,5754459.038461538,9
48.5,0.0,0.0,178.73,464704.7564102565,5754458.007692307,9
49.5,0.0,0.0,174.05,464704.7307692308,5754456.976923077,9
50.5,0.0,0.0,165.68,464704.7051282051,5754455.946153847,9
51.5,0.0,0.0,178.61,464704.6794871795,5754454.915384616,9
52.5,0.0,0.0,159.06,464704.6538461539,5754453.884615385,9
53.5,0.0,0.0,153.42,464704.6282051282,5754452.853846154,9
54.5,0.0,0.0,166.79,464704.60256410256,5754451.823076923,9
55.5,0.0,0.0,166.91,464704.57692307694,5754450.792307693,9
56.5,0.0,0.0,162.39,464704.5512820513,5754449.761538462,9
57.5,0.0,0.0,162.72,464704.5256410256,5754448.730769231,9
58.5,0.0,0.0,172.66,464704.5,5754447.7,9
59.5,0.0,0.0,167.09,464704.4743589744,5754446.669230769,9
60.5,0.0,0.0,166.54,464704.4487179487,5754445.638461539,9
61.5,0.0,0.0,170.26,464704.4230769231,5754444.607692308,9
62.5,0.0,0.0,170.68,464704.39743589744,5754443.576923077,9
