
Append with new capture


/Gem Systems GSM-19GW 4046514 v7.0 4 IV 2013 M ew5fl.v7o                          
/ID 45142 file 02survey.wm  15 II 00
/X Y nT sq cor-nT time picket-x picket-y 
 0  1400  49945.99 99 * 003654.0  0  14 
 0  1401  50298.07 99 * 003655.0 * * 
 0  1403  51511.00 89 * 003656.0 * * 
 0  1404  50757.18 09 * 003657.0 * * 
 0  1406  56036.65 09 * 003658.0 * * 
 0  1407  52095.42 09 * 003659.0 * * 
 0  1409  58227.07 09 * 003700.0 * * 
 0  1410  00000.00 99 * 003701.0 * * 
 0  1412  59864.39 09 * 003702.0 * * 
 0  1413  60056.53 09 * 003703.0 * * 
 0  1415  56922.81 09 * 003704.0 * * 
 0  1416  57752.70 29 * 003705.0 * * 
 0  1418  57720.14 59 * 003706.0 * * 
 0  1419  57729.94 59 * 003707.0 * * 
 0  1421  57105.64 59 * 003708.0 * * 
 0  1422  56956.39 69 * 003709.0 * * 
 0  1424  53535.73 09 * 003710.0 * * 
 0  1425  51018.32 09 * 003711.0 * * 
 0  1427  49845.66 09 * 003712.0 * * 
 0  1428  49832.52 99 * 003713.0 * * 
 0  1430  49787.56 99 * 003714.0 * * 
 0  1431  49843.64 89 * 003715.0 * * 
 0  1433  49110.68 79 * 003716.0 * * 
 0  1434  49270.08 69 * 003717.0 * * 
 0  1436  50975.35 19 * 003718.0 * * 
 0  1437  51873.16 09 * 003719.0 * * 
 0  1439  50806.34 39 * 003720.0 * * 
 0  1440  49443.93 19 * 003721.0 * * 
 0  1442  48793.67 19 * 003722.0 * * 
 0  1443  48123.32 09 * 003723.0 * * 
 0  1445  47703.22 19 * 003724.0 * * 
 0  1446  47036.45 19 * 003725.0 * * 
 0  1448  46792.64 09 * 003726.0 * * 
 0  1450  46317.76 09 * 003727.0 * * 
 0  1451  47412.63 09 * 003728.0 * * 
 0  1453  48512.51 09 * 003729.0 * * 
 0  1454  48905.66 19 * 003730.0 * * 
 0  1456  49276.10 49 * 003731.0 * * 
 0  1457  49056.13 89 * 003732.0 * * 
 0  1459  49072.68 99 * 003733.0 * * 
 0  1460  49042.35 99 * 003734.0 * * 
 0  1462  49101.39 99 * 003735.0 * * 
 0  1463  49150.71 99 * 003736.0 * * 
 0  1465  49143.80 99 * 003737.0 * * 
 0  1466  49164.47 99 * 003738.0 * * 
 0  1468  49168.18 99 * 003739.0 * * 
 0  1469  49183.14 99 * 003740.0 * * 
 0  1471  49183.31 99 * 003741.0 * * 
 0  1472  49291.71 99 * 003742.0 * * 
 0  1474  49319.68 99 * 003743.0 * * 
 0  1475  49340.73 99 * 003744.0 * * 
 0  1477  49148.98 99 * 003745.0 * * 
 0  1478  49137.75 99 * 003746.0 * * 
 0  1480  49176.04 99 * 003747.0 * * 
 0  1481  49458.74 99 * 003748.0 * * 
 0  1483  50339.42 79 * 003749.0 * * 
 0  1484  51028.83 19 * 003750.0 * * 
 0  1486  52460.70 09 * 003751.0 * * 
 0  1487  52298.79 19 * 003752.0 * * 
 0  1489  50978.85 99 * 003753.0 * * 
 0  1490  50859.77 99 * 003754.0 * * 
 0  1492  51049.49 99 * 003755.0 * * 
 0  1493  51613.56 99 * 003756.0 * * 
 0  1495  51794.89 89 * 003757.0 * * 
 0  1496  50764.25 99 * 003758.0 * * 
 0  1498  50938.91 99 * 003759.0 * * 
 0  1500  55038.74 29 * 003836.0  0  15 
 0  1500  56660.36 09 * 003837.0 * * 
 0  1500  58360.49 09 * 003838.0 * * 
 0  1500  59351.74 29 * 003839.0 * * 
 0  1500  59968.55 49 * 003840.0 * * 
 0  1500  60130.39 39 * 003841.0 * * 
 0  1500  55136.68 09 * 003842.0 * * 
 0  1500  50846.88 09 * 003843.0 * * 
 0  1500  51157.83 09 * 003844.0 * * 
 0  1500  28308.17 09 * 003845.0 * * 
 0  1500  00000.00 99 * 003846.0 * * 
 0  1500  46540.82 09 * 003847.0 * * 
 0  1500  47563.88 19 * 003848.0 * * 
 0  1500  47482.46 19 * 003849.0 * * 
 0  1500  47249.75 19 * 003850.0 * * 
 0  1500  47226.26 19 * 003851.0 * * 
 0  1500  47057.13 29 * 003852.0 * * 
 0  1500  46900.85 09 * 003853.0 * * 
 0  1500  46813.89 09 * 003854.0 * * 
 0  1500  47049.75 19 * 003855.0 * * 
 0  1500  46720.79 09 * 003856.0 * * 
 0  1500  47340.95 09 * 003857.0 * * 
 0  1500  48219.82 09 * 003858.0 * * 
 0  1500  49025.14 09 * 003859.0 * * 
 0  1500  44295.16 09 * 003900.0 * * 
 0  1500  49827.45 09 * 003901.0 * * 
 0  1500  36937.54 09 * 003902.0 * * 
 0  1500  48648.11 09 * 003903.0 * * 
 0  1500  42021.34 09 * 003904.0 * * 

