

/Gem Systems GSM-19GW 4046514 v7.0 4 IV 2013 M ew5fl.v7o                          
/ID 45142 file 01survey.m   15 II 00
/X Y nT sq cor-nT time 
 0  2  31967.44 09  000000.00 022317.0 
 1  2  32200.09 09  000000.00 022408.0 
 2  2  32298.52 09  000000.00 022450.0 
 3  2  32145.75 09  000000.00 022502.0 
 4  2  31288.49 09  000000.00 022508.0 
 5  2  31369.92 09  000000.00 022514.0 
 6  2  31603.24 09  000000.00 022520.0 
 7  2  31986.64 09  000000.00 022526.0 
 7  4  31804.08 09  000000.00 024035.0 
 6  4  31494.42 09  000000.00 024047.0 
 5  4  31657.07 09  000000.00 024235.0 
 4  4  31748.90 09  000000.00 024241.0 
 3  4  31710.07 09  000000.00 024247.0 
 2  4  31544.47 09  000000.00 024308.0 
 1  4  31464.96 09  000000.00 024329.0 
 0  4  31154.27 09  000000.00 024335.0 
 0  6  31607.48 09  000000.00 024405.0 
 1  6  31510.25 09  000000.00 024414.0 
 2  6  31739.12 09  000000.00 024508.0 
 3  6  31798.98 09  000000.00 024523.0 
 4  6  31784.57 09  000000.00 024611.0 
 5  6  31618.36 09  000000.00 024729.0 
 6  6  30934.75 09  000000.00 024735.0 
 7  6  31532.06 09  000000.00 024826.0 
 8  6  29701.05 09  000000.00 024850.0 
 9  6  25377.47 09  000000.00 024856.0 
 10  6  24590.96 09  000000.00 024914.0 

Append with new capture


/Gem Systems GSM-19GW 4046514 v7.0 4 IV 2013 M ew5fl.v7o                          
/ID 45142 file 01survey.wg  15 II 00
/00050 sensor distance cm 
/X Y nT nT/m sq cor-nT time picket-x picket-y 
 1100  600  38086.81  8389.56 09 * 040545.0  11  6 
 1101  600  41536.38  9999.99 09 * 040545.5 * * 
 1102  600  37715.33  8407.04 09 * 040546.0 * * 
 1103  600  40338.88  9999.99 09 * 040546.5 * * 
 1104  600  36511.60  8437.98 09 * 040547.0 * * 
 1106  600  40618.90  9999.99 09 * 040547.5 * * 
 1107  600  35443.78  6862.62 09 * 040548.0 * * 
 1108  600  38275.09  9999.99 09 * 040548.5 * * 
 1109  600  34974.24  6623.52 09 * 040549.0 * * 
 1110  600  37455.16  9999.99 09 * 040549.5 * * 
 1112  600  35188.40  9504.40 09 * 040550.0 * * 
 1113  600  34602.19  9999.99 09 * 040550.5 * * 
 1114  600  35196.28  9999.99 09 * 040551.0 * * 
 1115  600  34243.07  9999.99 09 * 040551.5 * * 
 1116  600  33589.68  8699.58 09 * 040552.0 * * 
 1118  600  34805.95  9999.99 09 * 040552.5 * * 
 1119  600  32758.46  7054.58 09 * 040553.0 * * 
 1120  600  30263.09  9625.88 09 * 040553.5 * * 
 1121  600  32750.87  6505.96 09 * 040554.0 * * 
 1122  600  25531.94  2851.46 09 * 040554.5 * * 
 1124  600  32585.67  7948.78 09 * 040555.0 * * 
 1125  600  26387.59  6566.50 09 * 040555.5 * * 
 1126  600  31909.96  9139.40 09 * 040556.0 * * 
 1127  600  26621.38  8745.52 09 * 040556.5 * * 
 1128  600  30984.60  8660.58 09 * 040557.0 * * 
 1130  600  25990.76  8113.98 09 * 040557.5 * * 
 1131  600  29561.12  9438.76 09 * 040558.0 * * 
 1132  600  24811.71  6849.04 09 * 040558.5 * * 
 1133  600  28495.41  9999.99 09 * 040559.0 * * 
 1134  600  23836.68  7710.28 09 * 040559.5 * * 
 1136  600  28156.74  9999.99 09 * 040600.0 * * 
 1137  600  24026.25  8737.44 09 * 040600.5 * * 
 1138  600  28031.08  9999.99 09 * 040601.0 * * 
 1139  600  22310.27  6373.88 09 * 040601.5 * * 
 1140  600  29218.30  9999.99 09 * 040602.0 * * 
 1142  600  19969.50  2006.52 09 * 040602.5 * * 
 1143  600  26009.19  9314.20 09 * 040603.0 * * 
 1144  600  20927.14  4671.76 09 * 040603.5 * * 
 1145  600  24079.10  8988.52 09 * 040604.0 * * 
 1146  600  20234.12  1865.44 09 * 040604.5 * * 
 1148  600  22667.68  8507.14 09 * 040605.0 * * 
 1149  600  19949.27  0787.68 09 * 040605.5 * * 
 1150  600  22255.09  5667.60 09 * 040606.0 * * 
 1151  600  18614.61 -0698.34 09 * 040606.5 * * 
 1153  600  19602.23  0455.90 09 * 040607.0 * * 
 1154  600  19767.36  0522.98 09 * 040607.5 * * 
 1155  600  18890.89 -0652.80 09 * 040608.0 * * 
 1156  600  18516.67 -0532.08 09 * 040608.5 * * 
 1157  600  19114.40 -1490.86 09 * 040609.0 * * 
 1159  600  17912.24 -4053.32 09 * 040609.5 * * 
 1160  600  20027.14  1350.48 09 * 040610.0 * * 
 1161  600  18458.12 -1255.28 09 * 040610.5 * * 
 1162  600  19058.03 -0786.56 09 * 040611.0 * * 
 1163  600  18515.83  0356.38 09 * 040611.5 * * 
 1165  600  18972.55 -0052.50 09 * 040612.0 * * 
 1166  600  18360.72 -1086.04 09 * 040612.5 * * 
 1167  600  19708.61  0554.70 09 * 040613.0 * * 
 1168  600  18084.82 -0840.94 09 * 040613.5 * * 
 1169  600  18291.04 -0234.76 09 * 040614.0 * * 
 1171  600  20015.41 -0160.28 09 * 040614.5 * * 
 1172  600  18048.32 -0198.84 09 * 040615.0 * * 
 1173  600  19116.89  0328.10 09 * 040615.5 * * 
 1174  600  18806.28  1120.84 09 * 040616.0 * * 
 1175  600  18273.19 -1135.98 09 * 040616.5 * * 
 1177  600  19909.98  0252.98 09 * 040617.0 * * 
 1178  600  19818.47 -0077.12 09 * 040617.5 * * 
 1179  600  19629.60  0214.54 09 * 040618.0 * * 
 1180  600  18467.33 -1280.72 09 * 040618.5 * * 
 1181  600  18435.11 -1564.54 09 * 040619.0 * * 
 1183  600  19372.90 -0061.28 09 * 040619.5 * * 
 1184  600  18088.31  0302.78 09 * 040620.0 * * 
 1185  600  18310.51 -0291.26 19 * 040620.5 * * 
 1186  600  20063.34  0275.28 09 * 040621.0 * * 
 1187  600  18995.66 -0309.80 09 * 040621.5 * * 
 1189  600  17377.61 -4744.60 09 * 040622.0 * * 
 1190  600  19127.81 -0251.34 09 * 040622.5 * * 
 1191  600  18331.98 -1946.72 09 * 040623.0 * * 
 1192  600  18941.54 -0609.96 09 * 040623.5 * * 
 1193  600  18015.88 -0234.36 09 * 040624.0 * * 
 1195  600  17914.14 -2072.78 09 * 040624.5 * * 
