

/Gem Systems GSM-19GW 4046514 v7.0 4 IV 2013 M ew5fl.v7o                          
/ID 45142 file 01survey.wg  15 II 00
/00050 sensor distance cm 
/X Y nT nT/m sq cor-nT time picket-x picket-y 
 0  0  37442.96  7793.72 09 * 192742.0  0  0 
 3  0  37246.22  9999.99 09 * 192742.5 * * 
 6  0  36783.88  9739.58 09 * 192743.0 * * 
 9  0  35865.74  9686.68 09 * 192743.5 * * 
 12  0  33667.68  4163.26 09 * 192744.0 * * 
 15  0  35775.56  9999.99 09 * 192744.5 * * 
 18  0  35107.48  6827.48 09 * 192745.0 * * 
 21  0  35902.93  9076.00 09 * 192745.5 * * 
 24  0  33970.34  5213.00 09 * 192746.0 * * 
 27  0  34227.10  4843.08 09 * 192746.5 * * 
 30  0  33190.98  4144.52 09 * 192747.0 * * 
 33  0  32897.29  2655.94 09 * 192747.5 * * 
 36  0  32460.93  2694.10 09 * 192748.0 * * 
 39  0  32477.73  2338.42 19 * 192748.5 * * 
 42  0  30874.73 -0486.12 09 * 192749.0 * * 
 45  0  31993.62  1227.64 09 * 192749.5 * * 
 48  0  30084.77 -1738.50 09 * 192750.0 * * 
 51  0  31000.20  0450.42 09 * 192750.5 * * 
 54  0  27245.45 -7278.34 09 * 192751.0 * * 
 57  0  30246.21 -1290.44 09 * 192751.5 * * 
 60  0  24947.05 -9999.99 09 * 192752.0 * * 
 63  0  28904.77 -2618.16 09 * 192752.5 * * 
 66  0  24244.01 -9999.99 09 * 192753.0 * * 
 69  0  28812.32 -3664.72 09 * 192753.5 * * 
 72  0  20649.32 -9999.99 09 * 192754.0 * * 
 75  0  29305.72 -4334.10 09 * 192754.5 * * 
 78  0  21885.81 -9999.99 09 * 192755.0 * * 
 81  0  20774.45 -9999.99 09 * 192755.5 * * 
 84  0  20227.59 -9999.99 09 * 192756.0 * * 
 87  0  19521.38 -9999.99 09 * 192756.5 * * 
 90  0  19844.11 -9999.99 19 * 192757.0 * * 
 93  0  18542.59 -9999.99 09 * 192757.5 * * 
 96  0  19828.29 -9999.99 09 * 192758.0 * * 
 100  0  18913.54 -9999.99 09 * 192758.5  1  0 
 102  0  19201.61 -9999.99 19 * 192759.0 * * 
 105  0  19583.21 -9999.99 09 * 192759.5 * * 
 108  0  18954.28 -8669.42 09 * 192800.0 * * 
 111  0  20771.11 -9931.02 09 * 192800.5 * * 
 113  0  19623.06 -5362.10 09 * 192801.0 * * 
 116  0  21322.11 -6490.46 09 * 192801.5 * * 
 119  0  18847.87 -6094.10 09 * 192802.0 * * 
 122  0  21639.94 -5122.68 09 * 192802.5 * * 
 125  0  19588.73 -3880.42 09 * 192803.0 * * 
 127  0  19796.72 -9133.44 09 * 192803.5 * * 
 130  0  19134.99 -6035.32 09 * 192804.0 * * 
 133  0  19677.01 -6064.52 09 * 192804.5 * * 
 136  0  19896.84 -4299.22 09 * 192805.0 * * 
 138  0  19725.37 -5043.78 09 * 192805.5 * * 
 141  0  19654.13 -5304.70 09 * 192806.0 * * 
 144  0  19741.23 -4924.36 09 * 192806.5 * * 
 147  0  19689.73 -5200.78 09 * 192807.0 * * 
 150  0  19938.12 -4310.52 09 * 192807.5 * * 
 152  0  18785.18 -6737.58 09 * 192808.0 * * 
 155  0  19314.62 -5989.22 09 * 192808.5 * * 
 158  0  19844.84 -4871.96 09 * 192809.0 * * 
 161  0  19858.22 -4957.22 09 * 192809.5 * * 
 163  0  19912.99 -4847.60 09 * 192810.0 * * 
 166  0  19285.29 -6119.76 09 * 192810.5 * * 
 169  0  19783.97 -4859.80 09 * 192811.0 * * 
 172  0  19284.83 -6071.18 09 * 192811.5 * * 
 175  0  19812.71 -4876.56 09 * 192812.0 * * 
 177  0  19610.25 -4019.58 09 * 192812.5 * * 
 180  0  19538.88 -5304.14 09 * 192813.0 * * 
 183  0  19430.48 -4362.68 09 * 192813.5 * * 
 186  0  19341.75 -6173.38 09 * 192814.0 * * 
 188  0  19250.34 -4474.86 09 * 192814.5 * * 
 191  0  19477.66 -5636.94 09 * 192815.0 * * 
 194  0  19106.99 -5330.42 09 * 192815.5 * * 
 197  0  18459.90 -6937.74 09 * 192816.0 * * 
 200  0  19508.77 -4658.62 09 * 192816.5  2  0 
 203  0  19005.26 -6407.92 09 * 192817.0 * * 
 207  0  20027.50 -4092.12 09 * 192817.5 * * 
 210  0  19644.11 -5412.34 09 * 192818.0 * * 
 214  0  19637.93 -5239.18 09 * 192818.5 * * 
 217  0  19493.56 -5280.16 09 * 192819.0 * * 
 221  0  18840.52 -6888.40 09 * 192819.5 * * 
 225  0  19674.85 -5150.46 09 * 192820.0 * * 
 228  0  19393.87 -3389.90 09 * 192820.5 * * 
 232  0  19513.23 -5614.72 09 * 192821.0 * * 
 235  0  19839.09 -0671.76 09 * 192821.5 * * 
 239  0  19029.26 -6560.78 09 * 192822.0 * * 
 242  0  18782.78 -2331.60 09 * 192822.5 * * 
 246  0  19743.51 -4739.14 09 * 192823.0 * * 
 250  0  19299.94 -1337.04 09 * 192823.5 * * 
 253  0  20137.85 -4402.92 09 * 192824.0 * * 
 257  0  18308.91 -3159.30 09 * 192824.5 * * 
 260  0  20126.53 -4328.86 09 * 192825.0 * * 
 264  0  19957.20  0167.66 09 * 192825.5 * * 
 267  0  19891.63 -4717.96 09 * 192826.0 * * 
 271  0  19467.77 -0860.26 09 * 192826.5 * * 
 275  0  19220.33 -6281.46 09 * 192827.0 * * 
 278  0  19482.85 -0937.42 09 * 192827.5 * * 
 282  0  20050.21 -4102.36 09 * 192828.0 * * 
 285  0  19799.26 -0571.68 09 * 192828.5 * * 
 289  0  19768.32 -5096.98 09 * 192829.0 * * 
 292  0  19522.17 -0746.70 09 * 192829.5 * * 
 296  0  19779.88 -5260.72 09 * 192830.0 * * 
 300  0  19490.05 -0792.62 09 * 192830.5  3  0 
 305  0  19201.06 -5759.40 09 * 192831.0 * * 
 311  0  19218.40 -1241.92 09 * 192831.5 * * 
 316  0  18960.50 -5972.10 09 * 192832.0 * * 
 322  0  19024.88 -1448.98 09 * 192832.5 * * 
 327  0  19021.47 -5929.32 09 * 192833.0 * * 
 333  0  19419.26 -0808.78 09 * 192833.5 * * 
 338  0  18782.75 -5897.66 09 * 192834.0 * * 
 344  0  20177.59  0578.40 09 * 192834.5 * * 
 350  0  19046.28 -6172.84 09 * 192835.0 * * 
 355  0  19990.71  0033.34 09 * 192835.5 * * 
 361  0  18485.24 -5197.00 09 * 192836.0 * * 
 366  0  19226.44 -1094.48 09 * 192836.5 * * 
 372  0  18878.94 -5392.38 09 * 192837.0 * * 
 377  0  19586.01 -0146.28 09 * 192837.5 * * 
 383  0  19838.23 -2325.92 09 * 192838.0 * * 
 388  0  19673.93 -1297.60 09 * 192838.5 * * 
 394  0  18972.22 -2711.64 09 * 192839.0 * * 
 400  0  19253.69 -1459.26 09 * 192839.5  4  0 
 404  0  19501.07 -1118.82 09 * 192840.0 * * 
 408  0  18764.27 -2224.98 09 * 192840.5 * * 
 412  0  18867.21 -2129.48 09 * 192841.0 * * 
 416  0  19535.00 -0745.76 09 * 192841.5 * * 
 420  0  19695.08 -0552.78 09 * 192842.0 * * 
 425  0  19073.07 -1765.60 09 * 192842.5 * * 
 429  0  19674.44 -0609.38 09 * 192843.0 * * 
 433  0  18451.13 -3027.54 09 * 192843.5 * * 
 437  0  19878.17 -0094.12 09 * 192844.0 * * 
 441  0  18182.67 -3523.10 09 * 192844.5 * * 
 445  0  19106.05 -0387.78 09 * 192845.0 * * 
 450  0  19476.56 -0502.36 09 * 192845.5 * * 
 454  0  19677.18 -0481.66 09 * 192846.0 * * 
 458  0  19815.93  0027.82 19 * 192846.5 * * 
 462  0  19266.69 -1181.16 09 * 192847.0 * * 
 466  0  18617.73 -2418.44 09 * 192847.5 * * 
 470  0  19308.91 -0863.12 09 * 192848.0 * * 
 475  0  20140.35  0050.20 09 * 192848.5 * * 
 479  0  19068.85 -0858.78 09 * 192849.0 * * 
 483  0  19558.83  0185.82 09 * 192849.5 * * 
 487  0  19663.42 -0445.66 09 * 192850.0 * * 
 491  0  19341.70 -0323.70 09 * 192850.5 * * 
 495  0  19266.44 -1134.64 09 * 192851.0 * * 
 500  0  19408.25 -1028.84 09 * 192851.5  5  0 
 505  0  19983.18 -0408.64 09 * 192852.0 * * 
 510  0  18970.63  0323.88 09 * 192852.5 * * 
 515  0  20098.25  0884.88 09 * 192853.0 * * 
 520  0  19584.60 -0749.80 09 * 192853.5 * * 
 525  0  19406.50 -1048.22 09 * 192854.0 * * 
 530  0  18274.85 -3314.70 09 * 192854.5 * * 
 535  0  19554.77  0684.92 09 * 192855.0 * * 
 540  0  19656.91 -0119.34 09 * 192855.5 * * 
 545  0  18483.57 -2811.24 09 * 192856.0 * * 
 550  0  18240.15 -3218.60 09 * 192856.5 * * 
 555  0  19156.26 -0954.16 09 * 192857.0 * * 
 560  0  20144.42  0733.56 09 * 192857.5 * * 
 565  0  18966.32  1093.76 09 * 192858.0 * * 
