sondeo,survey,profile_number,order,line_id,point_index,lat,lon,elev_m,TMI_nT,gradient_nT_per_m
1,Survey1,54,1,S1_P54_O1,1,51.7632274,14.336879,74.0,49224.41,-495.06
1,Survey1,54,1,S1_P54_O1,2,51.7632272,14.3368791,74.0,49225.96,-501.72
1,Survey1,54,1,S1_P54_O1,3,51.7632271,14.3368793,74.0,49227.32,-542.3
1,Survey1,54,1,S1_P54_O1,4,51.7632253,14.3368792,74.0,49256.98,-557.8
1,Survey1,54,1,S1_P54_O1,5,51.7632236,14.3368792,74.0,49347.59,-546.32
1,Survey1,54,1,S1_P54_O1,6,51.7632193,14.3368817,74.0,49510.69,-507.96
1,Survey1,54,1,S1_P54_O1,7,51.763215,14.3368843,74.0,49705.76,-381.3
1,Survey1,54,1,S1_P54_O1,8,51.7632106,14.3368855,74.0,49930.54,-205.84
1,Survey1,54,1,S1_P54_O1,9,51.7632063,14.3368867,74.0,50326.91,367.06
1,Survey1,54,1,S1_P54_O1,10,51.7632015,14.3368885,74.0,50529.15,657.1
1,Survey1,54,1,S1_P54_O1,11,51.7631967,14.3368904,74.0,50572.47,690.72
1,Survey1,54,1,S1_P54_O1,12,51.7631919,14.3368911,74.0,50506.76,600.02
1,Survey1,54,1,S1_P54_O1,13,51.7631872,14.3368918,74.0,50398.22,498.76
1,Survey1,54,1,S1_P54_O1,14,51.7631821,14.3368926,74.0,50245.72,352.54
1,Survey1,54,1,S1_P54_O1,15,51.7631771,14.3368934,74.0,50055.55,157.64
1,Survey1,54,1,S1_P54_O1,16,51.7631721,14.3368947,74.0,49899.26,9.28
1,Survey1,54,1,S1_P54_O1,17,51.7631671,14.3368961,74.0,49777.65,-64.94
1,Survey1,54,1,S1_P54_O1,18,51.7631622,14.3368972,74.0,49679.85,-143.86
1,Survey1,54,1,S1_P54_O1,19,51.7631574,14.3368984,74.0,49628.9,-134.54
1,Survey1,54,1,S1_P54_O1,20,51.7631522,14.3369003,74.0,49591.22,-127.52
1,Survey1,54,1,S1_P54_O1,21,51.763147,14.3369022,74.0,49553.51,-138.76
1,Survey1,54,1,S1_P54_O1,22,51.7631422,14.3369037,74.0,49510.17,-180.08
