sondeo,survey,profile_number,order,line_id,point_type,seq,lat,lon,TMI_nT,gradient_nT_per_m
1,Survey1,54,1,S1_P54_O1,start,1,51.7632274,14.336879,49224.41,-495.06
1,Survey1,54,1,S1_P54_O1,end,2,51.7632139,14.3368867,24710.83,-9999.99
1,Survey1,55,2,S1_P55_O2,start,1,51.7632122,14.3368766,24774.65,-9999.99
1,Survey1,55,2,S1_P55_O2,end,2,51.7630066,14.3369276,24561.91,-9999.99
1,Survey1,55,3,S1_P55_O3,start,1,51.7630123,14.3368908,23706.51,-9999.99
1,Survey1,55,3,S1_P55_O3,end,2,51.7632208,14.3368522,18358.29,-9999.99
1,Survey1,55,4,S1_P55_O4,start,1,51.7630069,14.3368874,24359.57,-9999.99
1,Survey1,55,4,S1_P55_O4,end,2,51.7632177,14.336848,24756.28,-9999.99
1,Survey1,55,5,S1_P55_O5,start,1,51.7632151,14.3368131,24617.38,-9999.99
1,Survey1,55,5,S1_P55_O5,end,2,51.7629866,14.3368595,24534.08,-9999.99
1,Survey1,56,6,S1_P56_O6,start,1,51.762994,14.3368595,24665.97,-9999.99
1,Survey1,56,6,S1_P56_O6,end,2,51.763215,14.3368162,24672.53,-9999.99
1,Survey1,57,7,S1_P57_O7,start,1,51.7632046,14.3368144,24677.21,-9999.99
1,Survey1,57,7,S1_P57_O7,end,2,51.7629826,14.3368553,24868.77,-9999.99
1,Survey1,58,8,S1_P58_O8,start,1,51.7629998,14.3368692,24686.65,-9999.99
1,Survey1,58,8,S1_P58_O8,end,2,51.7632177,14.3367944,24741.92,-9999.99
1,Survey1,59,9,S1_P59_O9,start,1,51.7632023,14.3367632,24715.65,-9999.99
1,Survey1,59,9,S1_P59_O9,end,2,51.7629832,14.3368275,24717.36,-9999.99
1,Survey1,60,10,S1_P60_O10,start,1,51.7629843,14.3368318,24759.44,-9999.99
1,Survey1,60,10,S1_P60_O10,end,2,51.7632039,14.3367607,24748.88,-9999.99
1,Survey1,61,11,S1_P61_O11,start,1,51.7631994,14.3367379,24739.71,-9999.99
1,Survey1,61,11,S1_P61_O11,end,2,51.7629801,14.3368043,24526.7,-9999.99
1,Survey1,62,12,S1_P62_O12,start,1,51.7629381,14.3368136,24683.13,-9999.99
1,Survey1,62,12,S1_P62_O12,end,2,51.7631979,14.3367588,24637.5,-9999.99
1,Survey1,63,13,S1_P63_O13,start,1,51.7631903,14.3367358,24730.24,-9999.99
1,Survey1,63,13,S1_P63_O13,end,2,51.7629834,14.3368078,24795.46,-9999.99
1,Survey1,64,14,S1_P64_O14,start,1,51.7629703,14.3368061,24789.41,-9999.99
1,Survey1,64,14,S1_P64_O14,end,2,51.7631875,14.3367248,24705.82,-9999.99
