
Append with new capture


/Gem Systems GSM-19GW 4046514 v7.0 4 IV 2013 M ew5fl.v7o                          
/ID 45142 file 01survey.b   16 VII25
/datum  49000.00
/ 051.7627556   014.3228212 
/UTC


/Gem Systems GSM-19GW 4046514 v7.0 4 IV 2013 M ew5fl.v7o                          
/ID 45142 file 02survey.b   22 VII25
/datum  49000.00
/ 051.7740993   014.2785475 
/UTC
/time nT sq 
091752.0  49823.63 99 
091753.0  49823.71 99 
091754.0  49823.78 99 
091755.0  49823.79 99 
091756.0  49823.74 99 
091757.0  49823.73 99 
091758.0  49823.68 99 
091759.0  49823.70 99 
091800.0  49823.71 99 
091801.0  49823.69 99 
091802.0  49823.67 99 
091803.0  49823.58 99 
091804.0  49823.53 99 
091805.0  49823.58 99 
091806.0  49823.57 99 
091807.0  49823.55 99 
091808.0  49823.55 99 
091809.0  49823.54 99 
091810.0  49823.52 99 
091811.0  49823.47 99 
091812.0  49823.41 99 
091813.0  49823.39 99 
091814.0  49823.39 99 
091815.0  49823.39 99 
091816.0  49823.34 99 
091817.0  49823.39 99 
091818.0  49823.36 99 
091819.0  49823.32 99 
091820.0  49823.28 99 
091821.0  49823.27 99 
091822.0  49823.41 99 
091823.0  49823.58 99 
091824.0  49823.63 99 
091825.0  49823.62 99 
091826.0  49823.63 99 
091827.0  49823.67 99 
091828.0  49823.69 99 
091829.0  49823.69 99 
091830.0  49823.75 99 
091831.0  49823.76 99 
091832.0  49823.75 99 
091833.0  49823.71 99 
091834.0  49823.68 99 
091835.0  49823.63 99 
091836.0  49823.65 99 
091837.0  49823.67 99 
091838.0  49823.61 99 
091839.0  49823.54 99 
091840.0  49823.54 99 
091841.0  49823.55 99 
091842.0  49823.56 99 
091843.0  49823.53 99 
091844.0  49823.57 99 
091845.0  49823.53 99 
091846.0  49823.52 99 
091847.0  49823.51 99 
091848.0  49823.52 99 
091849.0  49823.64 99 
091850.0  49823.63 99 
091851.0  49823.62 99 
091852.0  49823.59 99 
091853.0  49823.48 99 
091854.0  49823.33 99 
091855.0  49823.25 99 
091856.0  49823.21 99 
091857.0  49823.23 99 
091858.0  49823.19 99 
091859.0  49823.24 99 
091900.0  49823.23 99 
091901.0  49823.22 99 
091902.0  49823.18 99 
091903.0  49823.25 99 
091904.0  49823.32 99 
091905.0  49823.36 99 
091906.0  49823.28 99 
091907.0  49823.29 99 
091908.0  49823.43 99 
091909.0  49823.41 99 
091910.0  49823.39 99 
091911.0  49823.30 99 
091912.0  49823.27 99 
091913.0  49823.35 99 
091914.0  49823.32 99 
091915.0  49823.37 99 
091916.0  49823.33 99 
091917.0  49823.31 99 
091918.0  49823.35 99 
091919.0  49823.34 99 
091920.0  49823.39 99 
091921.0  49823.38 99 
091922.0  49823.51 99 
091923.0  49823.61 99 
091924.0  49823.61 99 
091925.0  49823.56 99 
