profile_id,station_m,EM_VL_mSm,EM_HL_mSm
Profile 1,0,14.5,15.9
Profile 1,5,21.0,13.9
Profile 1,10,18.7,21.5
Profile 1,15,9.2,25.2
Profile 1,20,8.7,23.3
Profile 1,25,9.4,14.4
Profile 1,30,16.5,33.5
Profile 1,35,10.5,17.8
Profile 1,40,20.5,36.6
Profile 1,45,19.5,22.3
Profile 1,50,27.5,13.2
Profile 1,55,25.2,19.5
Profile 1,60,10.9,15.1
Profile 1,65,14.2,33.2
Profile 1,70,11.6,27.1
Profile 1,75,20.8,21.7
Profile 1,80,19.0,13.6
Profile 1,85,9.2,17.4
Profile 1,90,21.6,23.1
Profile 1,95,14.3,27.2
Profile 1,100,17.1,19.8
Profile 1,105,23.9,30.2
Profile 1,110,12.9,26.9
Profile 1,115,18.5,34.8
Profile 1,120,22.6,19.5
Profile 1,125,27.6,15.1
Profile 1,130,16.4,31.7
Profile 1,135,11.0,24.7
Profile 1,140,8.8,29.4
