profile_id,station_m,easting_x,northing_y,EM_VL_mSm,EM_HL_mSm,crs
Profile 1,0,465879.0,5754916.0,11.7,7.9,EPSG:32633
Profile 1,5,465883.68,5754913.86,10.8,9.6,EPSG:32633
Profile 1,10,465888.36,5754911.71,13.4,12.5,EPSG:32633
Profile 1,15,465893.04,5754909.57,14.9,11.6,EPSG:32633
Profile 1,20,465897.71,5754907.43,14.2,13.1,EPSG:32633
Profile 1,25,465902.39,5754905.29,14.7,17.1,EPSG:32633
Profile 1,30,465907.07,5754903.14,15.5,18.3,EPSG:32633
Profile 1,35,465911.75,5754901.0,19.7,22.4,EPSG:32633
Profile 1,40,465916.43,5754898.86,19.8,25.3,EPSG:32633
Profile 1,45,465921.11,5754896.71,24.0,25.8,EPSG:32633
Profile 1,50,465925.79,5754894.57,25.6,31.2,EPSG:32633
Profile 1,55,465930.46,5754892.43,25.2,31.3,EPSG:32633
Profile 1,60,465935.14,5754890.29,28.9,33.8,EPSG:32633
Profile 1,65,465939.82,5754888.14,26.1,34.0,EPSG:32633
Profile 1,70,465944.5,5754886.0,29.4,36.4,EPSG:32633
Profile 1,75,465949.18,5754883.86,29.0,36.5,EPSG:32633
Profile 1,80,465953.86,5754881.71,27.2,36.4,EPSG:32633
Profile 1,85,465958.54,5754879.57,25.4,32.9,EPSG:32633
Profile 1,90,465963.21,5754877.43,25.7,30.9,EPSG:32633
Profile 1,95,465967.89,5754875.29,24.2,28.1,EPSG:32633
Profile 1,100,465972.57,5754873.14,21.7,23.2,EPSG:32633
Profile 1,105,465977.25,5754871.0,18.0,21.3,EPSG:32633
Profile 1,110,465981.93,5754868.86,15.7,18.4,EPSG:32633
Profile 1,115,465986.61,5754866.71,14.2,16.2,EPSG:32633
Profile 1,120,465991.29,5754864.57,15.0,14.4,EPSG:32633
Profile 1,125,465995.96,5754862.43,12.8,12.1,EPSG:32633
Profile 1,130,466000.64,5754860.29,11.5,13.5,EPSG:32633
Profile 1,135,466005.32,5754858.14,12.3,11.1,EPSG:32633
Profile 1,140,466010.0,5754856.0,9.9,10.8,EPSG:32633
Profile 2,0,465900.0,5754928.0,9.8,9.4,EPSG:32633
Profile 2,5,465904.54,5754925.75,13.7,11.2,EPSG:32633
Profile 2,10,465909.07,5754923.5,12.7,12.5,EPSG:32633
Profile 2,15,465913.61,5754921.25,14.7,14.3,EPSG:32633
Profile 2,20,465918.14,5754919.0,13.4,13.1,EPSG:32633
Profile 2,25,465922.68,5754916.75,15.1,16.2,EPSG:32633
Profile 2,30,465927.21,5754914.5,16.2,21.3,EPSG:32633
Profile 2,35,465931.75,5754912.25,20.6,21.4,EPSG:32633
Profile 2,40,465936.29,5754910.0,21.5,24.6,EPSG:32633
Profile 2,45,465940.82,5754907.75,24.4,27.6,EPSG:32633
Profile 2,50,465945.36,5754905.5,23.5,29.4,EPSG:32633
Profile 2,55,465949.89,5754903.25,26.1,31.8,EPSG:32633
Profile 2,60,465954.43,5754901.0,27.4,36.1,EPSG:32633
Profile 2,65,465958.96,5754898.75,27.3,34.5,EPSG:32633
Profile 2,70,465963.5,5754896.5,30.0,36.0,EPSG:32633
Profile 2,75,465968.04,5754894.25,26.1,33.8,EPSG:32633
Profile 2,80,465972.57,5754892.0,25.5,35.0,EPSG:32633
Profile 2,85,465977.11,5754889.75,27.1,32.4,EPSG:32633
Profile 2,90,465981.64,5754887.5,22.7,29.9,EPSG:32633
Profile 2,95,465986.18,5754885.25,24.7,27.9,EPSG:32633
Profile 2,100,465990.71,5754883.0,22.8,26.4,EPSG:32633
Profile 2,105,465995.25,5754880.75,17.2,23.1,EPSG:32633
Profile 2,110,465999.79,5754878.5,18.1,19.7,EPSG:32633
Profile 2,115,466004.32,5754876.25,14.9,17.7,EPSG:32633
Profile 2,120,466008.86,5754874.0,12.9,14.7,EPSG:32633
Profile 2,125,466013.39,5754871.75,13.2,15.0,EPSG:32633
Profile 2,130,466017.93,5754869.5,13.9,10.8,EPSG:32633
Profile 2,135,466022.46,5754867.25,11.7,9.4,EPSG:32633
Profile 2,140,466027.0,5754865.0,12.8,11.3,EPSG:32633
Profile 3,0,465889.0,5754951.0,10.4,10.4,EPSG:32633
Profile 3,5,465893.79,5754948.54,12.2,9.3,EPSG:32633
Profile 3,10,465898.57,5754946.07,13.5,11.9,EPSG:32633
Profile 3,15,465903.36,5754943.61,14.5,13.3,EPSG:32633
